id_Inst,id_med,nombre
33137,190605,Community Health Clinic
37088,919985,St. Mary's Hospital
09277,729458,Community Health Clinic
01027,113482,St. Mary's Hospital
21530,822324,Community Health Clinic
07580,653513,St. Mary's Hospital
60140,793943,General Hospital
45651,062390,Central Regional Hospital
10165,365027,Central Regional Hospital
11924,449798,St. Mary's Hospital
80381,219341,General Hospital
67526,994884,Central Regional Hospital
07420,782541,St. Mary's Hospital
60791,008063,St. Mary's Hospital
84053,080775,City Medical Center
00463,031913,General Hospital
86590,067795,City Medical Center
06680,388765,General Hospital
50496,301154,General Hospital
60586,538106,General Hospital
